sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair	support_cutoff_possible_pairs
rep1	9600000	6695	6333	46387.0	6.9286034354	1000
rep1	9650000	6678	6285	45650.0	6.83587900569	1000
rep1	9700000	6661	6268	45364.0	6.81038883051	1000
rep1	9750000	6644	6250	45232.0	6.80794701987	1000
rep1	9800000	6627	6213	44865.0	6.77003168855	1000
rep1	9850000	6610	6238	44394.0	6.71618759455	1000
rep1	9900000	6593	6230	44044.0	6.68041862582	1000
rep1	9950000	6576	6184	43889.0	6.67411800487	1000
rep1	10000000	6559	6166	43226.0	6.59033389236	1000
rep1	10050000	6542	6142	43174.0	6.59951085295	1000
rep1	10100000	6525	6136	42842.0	6.56582375479	1000
rep1	10150000	6508	6113	42152.0	6.47695144438	1000
rep1	10200000	6491	6060	42087.0	6.4839007857	1000
rep1	10250000	6474	6076	41417.0	6.39743589744	1000
rep1	10300000	6457	6050	40967.0	6.34458726963	1000
rep1	10350000	6440	6030	40834.0	6.34068322981	1000
rep1	10400000	6423	5996	40624.0	6.32477035653	1000
rep1	10450000	6406	5981	39646.0	6.18888541992	1000
rep1	10500000	6389	5944	40052.0	6.26889967131	1000
rep1	10550000	6372	5957	39415.0	6.18565599498	1000
rep1	10600000	6355	5939	39233.0	6.17356412274	1000
rep1	10650000	6338	5933	38969.0	6.14846954875	1000
rep1	10700000	6321	5887	38430.0	6.07973421927	1000
rep1	10750000	6304	5883	38671.0	6.13435913706	1000
rep1	10800000	6287	5848	37883.0	6.02560839828	1000
rep1	10850000	6270	5858	38066.0	6.0711323764	1000
rep1	10900000	6253	5814	37737.0	6.03502318887	1000
rep1	10950000	6236	5788	37686.0	6.04329698525	1000
rep1	11000000	6219	5781	37155.0	5.97443318862	1000
rep1	11050000	6202	5767	36847.0	5.94114801677	1000
rep1	11100000	6185	5763	36621.0	5.92093775263	1000
rep1	11150000	6168	5738	36069.0	5.84776264591	1000
rep1	11200000	6151	5710	35897.0	5.83596163225	1000
rep1	11250000	6134	5695	35769.0	5.8312683404	1000
rep1	11300000	6117	5707	35312.0	5.77276442701	1000
rep1	11350000	6100	5656	35178.0	5.7668852459	1000
rep1	11400000	6083	5625	35391.0	5.81801742561	1000
rep1	11450000	6066	5632	34844.0	5.74414770854	1000
rep1	11500000	6049	5591	34596.0	5.71929244503	1000
rep1	11550000	6032	5601	34264.0	5.68037135279	1000
rep1	11600000	6015	5537	33994.0	5.65153782211	1000
rep1	11650000	5998	5529	33836.0	5.64121373791	1000
rep1	11700000	5981	5512	33626.0	5.62213676643	1000
rep1	11750000	5964	5517	33254.0	5.5757880617	1000
rep1	11800000	5947	5502	33047.0	5.55691945519	1000
rep1	11850000	5930	5484	32650.0	5.50590219224	1000
rep1	11900000	5913	5474	32802.0	5.54743784881	1000
rep1	11950000	5896	5429	32320.0	5.48168249661	1000
rep1	12000000	5879	5443	32325.0	5.49838407892	1000
rep1	12050000	5862	5398	31956.0	5.45138178096	1000
rep1	12100000	5845	5407	31596.0	5.40564585115	1000
rep1	12150000	5828	5402	31430.0	5.39293067948	1000
rep1	12200000	5811	5373	31539.0	5.4274651523	1000
rep1	12250000	5794	5330	31324.0	5.40628236106	1000
rep1	12300000	5777	5321	30980.0	5.36264497144	1000
rep1	12350000	5760	5307	30832.0	5.35277777778	1000
rep1	12400000	5743	5301	30490.0	5.30907191363	1000
rep1	12450000	5726	5291	30660.0	5.35452322738	1000
rep1	12500000	5709	5244	30242.0	5.29724995621	1000
rep1	12550000	5692	5227	30118.0	5.29128601546	1000
rep1	12600000	5675	5230	29902.0	5.26907488987	1000
rep1	12650000	5658	5201	29535.0	5.22004241782	1000
rep1	12700000	5641	5141	29570.0	5.24197837263	1000
rep1	12750000	5624	5168	29249.0	5.20074679943	1000
rep1	12800000	5607	5116	29217.0	5.21080791867	1000
rep1	12850000	5590	5122	29023.0	5.19194991055	1000
rep1	12900000	5573	5096	28403.0	5.09653687421	1000
rep1	12950000	5556	5114	28503.0	5.13012958963	1000
rep1	13000000	5539	5089	28625.0	5.16790034302	1000
rep1	13050000	5522	5038	28098.0	5.08837377762	1000
rep1	13100000	5505	5025	28068.0	5.09863760218	1000
rep1	13150000	5488	5027	27796.0	5.06486880466	1000
rep1	13200000	5471	4996	27587.0	5.04240541035	1000
rep1	13250000	5454	4970	27285.0	5.00275027503	1000
rep1	13300000	5437	5001	27026.0	4.97075593158	1000
rep1	13350000	5420	4962	26924.0	4.96752767528	1000
rep1	13400000	5403	4930	26890.0	4.97686470479	1000
rep1	13450000	5386	4909	26761.0	4.96862235425	1000
rep1	13500000	5369	4884	26410.0	4.91897932576	1000
rep1	13550000	5352	4878	26364.0	4.92600896861	1000
rep1	13600000	5335	4885	26032.0	4.87947516401	1000
rep1	13650000	5318	4872	25872.0	4.86498683716	1000
rep1	13700000	5301	4814	25468.0	4.80437653273	1000
rep1	13750000	5284	4817	25512.0	4.82816048448	1000
rep1	13800000	5267	4800	25545.0	4.85000949307	1000
rep1	13850000	5250	4795	25603.0	4.87676190476	1000
rep1	13900000	5233	4775	25438.0	4.86107395376	1000
rep1	13950000	5216	4753	25011.0	4.79505368098	1000
rep1	14000000	5199	4743	25047.0	4.81765724178	1000
rep1	14050000	5182	4709	24775.0	4.78097259745	1000
rep1	14100000	5165	4698	24952.0	4.83097773475	1000
rep1	14150000	5148	4688	24613.0	4.78108003108	1000
rep1	14200000	5131	4669	24502.0	4.77528746833	1000
rep1	14250000	5114	4634	24380.0	4.76730543606	1000
rep1	14300000	5097	4611	24332.0	4.77378850304	1000
rep1	14350000	5080	4616	24138.0	4.75157480315	1000
rep1	14400000	5063	4596	23923.0	4.72506419119	1000
rep1	14450000	5046	4578	23896.0	4.73563218391	1000
rep1	14500000	5029	4580	23931.0	4.75860011931	1000
rep1	14550000	5012	4559	23524.0	4.69353551476	1000
rep1	14600000	4995	4528	23294.0	4.66346346346	1000
rep1	14650000	4978	4492	23267.0	4.67396544797	1000
rep1	14700000	4961	4510	23363.0	4.70933279581	1000
rep1	14750000	4944	4485	23097.0	4.67172330097	1000
rep1	14800000	4927	4474	23266.0	4.72214329206	1000
rep1	14850000	4910	4493	23040.0	4.69246435845	1000
rep1	14900000	4893	4433	22603.0	4.61945636624	1000
rep1	14950000	4876	4442	22519.0	4.61833470057	1000
rep1	15000000	4859	4406	22461.0	4.6225560815	1000
rep1	15050000	4842	4361	22294.0	4.60429574556	1000
rep1	15100000	4825	4397	22273.0	4.61616580311	1000
rep1	15150000	4808	4406	22141.0	4.60503327787	1000
rep1	15200000	4791	4344	22040.0	4.60029221457	1000
rep1	15250000	4774	4339	21820.0	4.57059069962	1000
rep1	15300000	4757	4346	21974.0	4.61929787681	1000
rep1	15350000	4740	4316	21916.0	4.62362869198	1000
rep1	15400000	4723	4291	21917.0	4.64048274402	1000
rep1	15450000	4706	4279	21820.0	4.63663408415	1000
rep1	15500000	4689	4283	21378.0	4.55918106206	1000
rep1	15550000	4672	4251	21357.0	4.57127568493	1000
rep1	15600000	4655	4240	21276.0	4.57056928034	1000
rep1	15650000	4638	4205	21120.0	4.55368693402	1000
rep1	15700000	4621	4186	20756.0	4.49166847003	1000
rep1	15750000	4604	4178	20922.0	4.54430929626	1000
rep1	15800000	4587	4165	20912.0	4.55897100501	1000
