duplication_type	gene	age	mean_ATAC_TSS_2kb
TRD	Pbre1_17G488600	young	0.5703522983044386
PD	Pbre1_07G101400	young	0.39328088082559404
TD	Pbre1_05G387400	young	0.41153686959668984
PD	Pbre1_01G326600	young	0.3763890139032155
TRD	Pbre1_16G370400	young	0.27401027372851966
PD	Pbre1_02G020600	young	0.0
TD	Pbre1_03G219800	young	0.6729374390281737
TRD	Pbre1_08G234200	young	0.503805999012664
TRD	Pbre1_17G309800	young	0.5479689659364522
PD	Pbre1_11G030400	young	0.6751364244893193
TRD	Pbre1_17G427400	young	0.5037148216180503
TD	Pbre1_02G120200	young	0.2190788911860436
PD	Pbre1_10G260000	young	0.658946494601667
TD	Pbre1_05G098400	young	0.6891721974536776
TRD	Pbre1_14G346200	young	0.39196000460162755
TRD	Pbre1_09G358200	young	0.040460689159110184
PD	Pbre1_04G294200	young	0.9329332770686596
TD	Pbre1_03G404000	young	0.5541517377123236
PD	Pbre1_13G464800	young	0.41239340508822353
TRD	Pbre1_08G294400	young	0.5912651300132274
PD	Pbre1_04G043200	young	0.22003104042261837
TD	Pbre1_10G483200	young	0.4217423921544105
TRD	Pbre1_07G241000	young	0.16662305580824613
TRD	Pbre1_03G362800	young	0.7320091882795096
TD	Pbre1_03G036600	young	0.3129655212480575
PD	Pbre1_12G034200	young	0.6677823013365269
TRD	Pbre1_17G326600	young	1.1598209061473608
TD	Pbre1_14G213400	young	0.10402017063088716
TRD	Pbre1_12G191800	young	0.711893585568294
TRD	Pbre1_07G288400	young	0.03622756228595972
PD	Pbre1_13G072000	young	0.6592535357791931
TRD	Pbre1_09G233200	young	0.8371021141577512
TD	Pbre1_15G234200	young	0.24915858368948102
TRD	Pbre1_14G346000	young	0.4422733589727431
TRD	Pbre1_09G392800	young	0.980676264030859
PD	Pbre1_02G479800	young	0.850727169431746
TRD	Pbre1_05G313800	young	0.3516288463342935
TRD	Pbre1_14G176800	young	0.053342430177144705
TRD	Pbre1_08G084600	young	0.42971006781421606
TD	Pbre1_06G169200	young	0.281323661416769
TRD	Pbre1_17G427600	young	0.5632735573779791
TD	Pbre1_02G488200	young	0.8950075292289256
TRD	Pbre1_16G426800	young	0.8765377326980233
TD	Pbre1_12G253400	young	1.4282713725715876
TD	Pbre1_12G385600	young	0.6304155628234149
PD	Pbre1_03G114000	young	0.5198376365955919
TRD	Pbre1_03G340400	young	0.6924492198601365
PD	Pbre1_09G157800	young	0.49566910926252616
TRD	Pbre1_05G571600	young	0.15804873701464386
TD	Pbre1_02G447200	young	0.782023436781019
TRD	Pbre1_15G064400	young	0.8241851060278714
TD	Pbre1_02G412000	young	0.2728387918695807
TRD	Pbre1_07G203400	young	0.44505906327813866
PD	Pbre1_05G462600	young	1.0559614413529634
PD	Pbre1_12G108600	young	0.004237294979393482
TRD	Pbre1_07G056800	young	1.1033976842882112
PD	Pbre1_02G451800	young	0.5921626187097282
TRD	Pbre1_15G455400	young	0.9616064095497132
PD	Pbre1_14G411400	young	0.7073467022981494
PD	Pbre1_12G276200	young	0.29569425924308596
TRD	Pbre1_15G783600	young	0.9095698395743966
TRD	Pbre1_15G566000	young	0.37220258144661783
TD	Pbre1_12G109400	young	0.009464961811900138
PD	Pbre1_01G100200	young	1.1076743167638778
TRD	Pbre1_02G487600	young	0.7396974077038466
PD	Pbre1_06G231000	young	0.6374854289777577
TD	Pbre1_10G199800	young	0.978447115905583
TRD	Pbre1_04G076400	young	0.5202425290085375
TRD	Pbre1_02G404000	young	0.8937338850349189
TRD	Pbre1_12G025000	young	1.9406781159061937
TD	Pbre1_09G232800	young	0.16846825507469476
TD	Pbre1_05G435200	young	0.45308948006480937
TD	Pbre1_03G320800	young	0.4409039795473218
TRD	Pbre1_10G134800	young	0.567082899555564
TD	Pbre1_07G108400	young	0.537055714637041
TRD	Pbre1_12G410600	young	0.12609489473793656
TD	Pbre1_02G216800	young	1.1704198120385407
TRD	Pbre1_15G585800	young	0.26966996576637026
TRD	Pbre1_08G278600	young	2.103031992226839
PD	Pbre1_15G307400	young	0.695343290882185
TRD	Pbre1_03G307200	young	0.720299100521952
TRD	Pbre1_09G464000	young	0.472884106952697
TRD	Pbre1_02G321000	young	0.3696077758446336
TD	Pbre1_03G040600	young	1.1228587875720115
PD	Pbre1_06G281400	young	0.23336043427698314
PD	Pbre1_10G491200	young	0.8644458615295589
TRD	Pbre1_10G078800	young	0.5026374864913523
TRD	Pbre1_12G173200	young	0.3311665852423757
TD	Pbre1_06G095400	young	0.9524386970382184
PD	Pbre1_01G125000	young	1.442674855172634
PD	Pbre1_07G162000	young	0.19311181040108205
TRD	Pbre1_06G197200	young	0.22169874374754728
TD	Pbre1_05G420400	young	0.39816887372173365
TD	Pbre1_10G483400	young	0.5602981759998947
TD	Pbre1_03G285600	young	0.9607501760814339
TD	Pbre1_03G413600	young	0.39932081683538856
TRD	Pbre1_15G784400	young	0.47983808116149157
TD	Pbre1_09G158200	young	0.6736656178999693
TRD	Pbre1_15G763200	young	1.1665797750912605
TD	Pbre1_04G032000	young	0.20977000892162323
PD	Pbre1_09G184000	young	0.45059678548946974
TD	Pbre1_15G488000	young	0.7818370432406664
TD	Pbre1_15G310400	young	0.4551333780921996
TRD	Pbre1_02G127200	young	0.27653739718347786
TD	Pbre1_02G120000	young	0.023919632814824583
TD	Pbre1_17G416400	young	0.6079166952148081
TRD	Pbre1_08G301400	young	1.0556571649033575
TD	Pbre1_12G370200	young	0.4504659153781832
TRD	Pbre1_06G189000	young	0.4064449204411358
PD	Pbre1_12G108400	young	0.0
PD	Pbre1_04G310000	young	0.2730649725347757
TRD	Pbre1_03G295400	young	0.21101250010542572
PD	Pbre1_07G066000	young	0.38992278319969775
TRD	Pbre1_01G110200	young	0.5260669831614941
PD	Pbre1_17G101200	young	1.278204768460244
TRD	Pbre1_08G200800	young	0.042176901144906874
TRD	Pbre1_09G003200	young	0.6247580982483923
TRD	Pbre1_02G417400	young	0.2760242126416415
TD	Pbre1_08G094200	young	0.2729532416565344
TD	Pbre1_14G311800	young	0.2926621771734208
TD	Pbre1_01G260800	young	0.7555557567477227
TRD	Pbre1_01G034000	young	0.7488332726433874
TRD	Pbre1_08G234400	young	0.8807905632350593
PD	Pbre1_15G692800	young	0.5124771916326136
TRD	Pbre1_11G394600	young	0.47945603292062877
PD	Pbre1_15G745200	young	0.3631779740378261
TD	Pbre1_02G021000	young	0.10139272906817495
TRD	Pbre1_11G089400	young	1.0736538102254272
PD	Pbre1_04G309600	young	0.41788398799113935
TRD	Pbre1_15G553400	young	0.6590815260931849
PD	Pbre1_15G299000	young	0.33102731550298625
PD	Pbre1_06G211800	young	0.7554261117167771
TD	Pbre1_12G370600	young	0.3502300930768252
TD	Pbre1_15G720000	young	0.8220688917674124
TRD	Pbre1_17G125200	young	0.0038584324158728125
PD	Pbre1_09G281800	young	0.2607981756143272
PD	Pbre1_11G162200	young	0.4165373217519373
PD	Pbre1_04G294600	young	1.0386675845235585
TD	Pbre1_10G506400	young	0.5909159121196716
PD	Pbre1_07G241200	young	0.6439745209552348
TRD	Pbre1_01G115000	young	0.7124085851758719
PD	Pbre1_02G253400	young	0.6936107352748514
TD	Pbre1_05G181000	young	0.08120028610527516
PD	Pbre1_14G173400	young	0.6377781515195965
TD	Pbre1_11G254800	young	1.0932807488888503
TRD	Pbre1_17G019000	young	0.6218175400607289
PD	Pbre1_15G246000	young	0.35805241677910093
TRD	Pbre1_16G498800	young	0.026228716457262637
TRD	Pbre1_06G166600	young	0.9918868002295496
TRD	Pbre1_01G115200	young	0.721327346239239
PD	Pbre1_01G233000	young	0.22624808259680868
TRD	Pbre1_17G018800	young	0.4399436671603471
TD	Pbre1_12G370400	young	1.4771760911177843
TRD	Pbre1_02G036200	young	0.7255344167836011
TD	Pbre1_07G210400	young	1.3039520261529833
TD	Pbre1_03G071800	young	0.36442904143221677
PD	Pbre1_13G444400	young	0.11099095021747055
PD	Pbre1_02G340000	young	0.0
PD	Pbre1_11G517200	young	0.7348565166816116
TRD	Pbre1_02G484800	young	0.7330485513973981
PD	Pbre1_08G036800	young	0.21161561554297803
TD	Pbre1_17G265600	young	0.2463370936512947
TRD	Pbre1_15G734800	young	1.0991914828773588
PD	Pbre1_03G376800	young	1.090125501103699
TD	Pbre1_05G246000	young	0.3162469747662544
TD	Pbre1_09G236200	young	1.6928210268393158
TD	Pbre1_15G720600	young	0.23711337856948375
TRD	Pbre1_03G450600	young	0.325095446202904
PD	Pbre1_15G298600	young	0.6222655814103784
PD	Pbre1_14G082800	young	0.9872898628264665
TD	Pbre1_04G017600	young	1.157503251902759
TRD	Pbre1_11G456400	young	0.2302132333815098
TRD	Pbre1_10G499000	young	0.6248819750193506
TRD	Pbre1_17G265000	young	0.2341697080619633
TD	Pbre1_05G010800	young	0.9798696756903083
TRD	Pbre1_03G209400	young	0.9538104550540447
TD	Pbre1_10G080400	young	0.43405113330483436
PD	Pbre1_02G452400	young	0.2623947467543185
PD	Pbre1_06G380800	young	0.48427894470095634
TRD	Pbre1_02G012400	young	0.613903458269313
TD	Pbre1_03G471200	young	0.6905333473756909
TRD	Pbre1_17G264800	young	0.2900863806512207
TD	Pbre1_04G060000	young	0.4941345118917525
TD	Pbre1_06G014200	young	0.3451613379456103
TD	Pbre1_01G201400	young	0.7690902248844503
TD	Pbre1_07G056400	young	0.79460703038238
PD	Pbre1_16G513600	young	0.0
TD	Pbre1_03G046400	young	0.5610975017249584
TRD	Pbre1_06G052600	young	0.2500213464535773
TD	Pbre1_16G149600	young	0.4472125016860664
TRD	Pbre1_07G094800	young	1.318120258383453
TD	Pbre1_06G047600	young	0.2123746943771839
PD	Pbre1_03G037200	young	0.5535170033425093
TD	Pbre1_03G064800	young	0.3984667297694832
TD	Pbre1_03G413400	young	0.4679634883962572
PD	Pbre1_05G231200	young	0.9558067285306752
TD	Pbre1_06G095600	young	1.0137577639743687
PD	Pbre1_17G416200	young	1.718174409992993
PD	Pbre1_05G134400	young	0.03435284522734582
TRD	Pbre1_06G080400	young	1.099820282638073
PD	Pbre1_02G420400	young	0.7839334108736365
TRD	Pbre1_17G455000	young	0.08166952704638243
PD	Pbre1_16G410600	young	0.11094243906252085
PD	Pbre1_11G295400	young	0.7610189382247627
TD	Pbre1_05G010600	young	0.9219999908283352
TD	Pbre1_09G210400	young	0.27711129532940687
PD	Pbre1_03G121600	young	1.0778521247059107
TRD	Pbre1_07G129600	young	0.08116736180521547
PD	Pbre1_12G276000	young	0.5220297917965799
TD	Pbre1_09G267800	young	1.1856501899957657
PD	Pbre1_14G279200	young	0.6096413594763727
