duplication_type	metric	young_gene	partner_gene	young_log2_expression	partner_log2_expression
TD	15DAF	Pbre1_06G031800	Pbre1_06G031600	0.24382382120703436	0.027674969984408677
TD	15DAF	Pbre1_10G352600	Pbre1_10G352400	0.13919311027878623	0.23188947620358447
TD	15DAF	Pbre1_12G370200	Pbre1_12G370000	3.8757955906291004	4.874308510787858
TD	15DAF	Pbre1_06G054200	Pbre1_06G054000	0.7959771869821227	3.478084824883694
TD	15DAF	Pbre1_15G260800	Pbre1_15G260600	1.9547204253966677	1.175302950337654
TD	15DAF	Pbre1_17G276200	Pbre1_17G276000	1.181027471395674	0.7392259683197385
TD	15DAF	Pbre1_02G102600	Pbre1_02G102400	1.9824091705564295	1.5072725120762533
TD	15DAF	Pbre1_09G117000	Pbre1_09G116800	0.937974068321872	2.8869644602773588
TD	15DAF	Pbre1_03G420200	Pbre1_03G420000	0.0	0.0
TD	15DAF	Pbre1_10G064800	Pbre1_10G064600	3.321298365354538	3.4549829711066122
TD	15DAF	Pbre1_04G023600	Pbre1_04G023400	3.0673965839712847	2.9374413847051613
TD	15DAF	Pbre1_08G347000	Pbre1_08G346800	0.09718871288144541	0.0
TD	15DAF	Pbre1_16G055200	Pbre1_16G055000	2.337892309500328	3.7373167394694957
TD	15DAF	Pbre1_03G292800	Pbre1_03G292600	0.9557271746365169	0.08945882872786291
TD	15DAF	Pbre1_14G410400	Pbre1_14G410200	0.40855970437641403	0.08010230646199269
TD	15DAF	Pbre1_12G104200	Pbre1_12G104000	0.0	0.0
TD	15DAF	Pbre1_12G056000	Pbre1_12G055800	0.8295760102956975	0.23089897964990033
TD	15DAF	Pbre1_15G015200	Pbre1_15G015000	5.702399120490338	0.06522486493300063
TD	15DAF	Pbre1_16G347600	Pbre1_16G347400	4.392100383899919	4.233476262868902
TD	15DAF	Pbre1_05G515200	Pbre1_05G515000	2.311614132450874	0.09430634461391292
TD	15DAF	Pbre1_07G267800	Pbre1_07G267600	5.511615097107251	6.153176492001444
TD	15DAF	Pbre1_09G177600	Pbre1_09G177400	0.13961879937330463	4.724885699916739
TD	15DAF	Pbre1_13G409400	Pbre1_13G409200	5.826648925875804	8.492149455562142
TD	15DAF	Pbre1_11G033000	Pbre1_11G032800	4.059148446503369	1.6201237355181375
TD	15DAF	Pbre1_04G051200	Pbre1_04G051000	4.803213911570771	7.101702186713306
TD	15DAF	Pbre1_14G093200	Pbre1_14G093000	0.0	0.0
TD	15DAF	Pbre1_06G266200	Pbre1_06G266000	4.902227780211814	6.0870550101014
TD	15DAF	Pbre1_13G062200	Pbre1_13G062000	0.3315229336198336	1.5162365786539955
TD	15DAF	Pbre1_15G266000	Pbre1_15G265800	6.318880322447719	0.5537418946056638
TD	15DAF	Pbre1_15G085000	Pbre1_15G084800	0.15084558780042595	1.285547220922787
TD	15DAF	Pbre1_10G288400	Pbre1_10G288200	1.2537732994883874	2.988324581502861
TD	15DAF	Pbre1_08G300200	Pbre1_08G300000	0.0	4.208137495738285
TD	15DAF	Pbre1_03G016600	Pbre1_03G016400	2.21805855459045	1.0570301398110151
TD	15DAF	Pbre1_09G108200	Pbre1_09G108000	1.2005953743245932	0.3259539396154228
TD	15DAF	Pbre1_09G221400	Pbre1_09G221200	0.3370956393066342	0.0
TD	15DAF	Pbre1_08G402400	Pbre1_08G402200	1.894877118682895	2.0904256384321807
TD	15DAF	Pbre1_07G479000	Pbre1_07G478800	1.3263043582383232	0.1020614477119985
TD	15DAF	Pbre1_03G435600	Pbre1_03G435400	0.0	2.878610588228618
TD	15DAF	Pbre1_17G441000	Pbre1_17G440800	4.504537959411203	4.943103849029931
TD	15DAF	Pbre1_03G208600	Pbre1_03G208400	2.6516813439727085	3.9155066553826825
TD	15DAF	Pbre1_08G351000	Pbre1_08G350800	3.161758559422451	2.059617278811599
TD	15DAF	Pbre1_15G431000	Pbre1_15G430800	0.0	0.0
TD	15DAF	Pbre1_07G052000	Pbre1_07G051800	3.8358510283915694	4.0008012847023915
TD	15DAF	Pbre1_04G014600	Pbre1_04G014400	3.6376632190301623	0.40574626391066493
TD	15DAF	Pbre1_08G290000	Pbre1_08G289800	0.9162549683022355	0.16652264432811192
TD	15DAF	Pbre1_08G220800	Pbre1_08G220600	4.286133738702991	6.20903525491608
TD	15DAF	Pbre1_11G454000	Pbre1_11G453800	0.5239081613238559	0.0
TD	15DAF	Pbre1_12G339200	Pbre1_12G339000	0.0	0.0
TD	15DAF	Pbre1_08G352200	Pbre1_08G352000	0.0	0.0
TD	15DAF	Pbre1_12G096000	Pbre1_12G095800	0.06669680315636241	0.0
TD	15DAF	Pbre1_08G243000	Pbre1_08G242800	0.0	0.0
TD	15DAF	Pbre1_05G435200	Pbre1_05G435000	3.934652178362975	3.511212976989581
TD	15DAF	Pbre1_13G119000	Pbre1_13G118800	2.448877170261644	4.172991874557026
TD	15DAF	Pbre1_03G207200	Pbre1_03G207000	6.269593110990796	4.687298690986712
TD	15DAF	Pbre1_15G050600	Pbre1_15G050400	0.5679999904601576	4.637161985979458
TD	15DAF	Pbre1_11G196000	Pbre1_11G195800	0.5249462789275533	0.6353532128924271
TD	15DAF	Pbre1_16G059200	Pbre1_16G059000	1.4688335188398618	3.106407453377926
TD	15DAF	Pbre1_10G015400	Pbre1_10G015200	0.0	0.03887018917006697
TD	15DAF	Pbre1_01G418200	Pbre1_01G418000	1.4066863196053256	2.9415629042647256
TD	15DAF	Pbre1_16G110000	Pbre1_16G109800	5.196941438980617	4.044097593197182
TD	15DAF	Pbre1_03G024000	Pbre1_03G023800	2.871646545559235	2.1638941311102053
TD	15DAF	Pbre1_17G099400	Pbre1_17G099200	0.05265377314236071	4.989471433959413
TD	15DAF	Pbre1_11G057800	Pbre1_11G057600	3.3325405283450134	2.963755422082185
TD	15DAF	Pbre1_07G296000	Pbre1_07G295800	3.422323166305457	3.672218144770441
TD	15DAF	Pbre1_15G761400	Pbre1_15G761200	0.1192366392417881	0.3147023254236875
TD	15DAF	Pbre1_07G105600	Pbre1_07G105400	0.0	0.39546428462525707
TD	15DAF	Pbre1_16G407800	Pbre1_16G407600	0.7556943308040475	2.2760219423647365
TD	15DAF	Pbre1_04G103000	Pbre1_04G102800	5.2371013302152125	4.049211576042467
TD	15DAF	Pbre1_03G067600	Pbre1_03G067400	0.35183182972404786	0.11520241333228191
TD	15DAF	Pbre1_06G050200	Pbre1_06G050000	2.813543979827994	0.09926961605411938
TD	15DAF	Pbre1_07G083800	Pbre1_07G083600	0.0	0.0
TD	15DAF	Pbre1_17G476800	Pbre1_17G476600	5.263464219839367	2.4834234398263413
TD	15DAF	Pbre1_15G758800	Pbre1_15G758600	1.5628539362335057	1.5142273173760248
TD	15DAF	Pbre1_17G163800	Pbre1_17G163600	0.726908797942656	0.0
TD	15DAF	Pbre1_11G509800	Pbre1_11G509600	5.7791198047425665	8.151231264960014
TD	15DAF	Pbre1_11G213800	Pbre1_11G213600	0.788243021357196	1.0310591870716408
TD	15DAF	Pbre1_11G124600	Pbre1_11G124400	2.227551332331983	3.4419354461430522
