duplication_type	gene	age	TPM	log2_TPM_plus_1
TRD	Pbre1_12G025000	young	10.276191	3.4952079149799093
TD	Pbre1_09G232800	young	0.029768	0.04231934425304936
TD	Pbre1_05G435200	young	14.291438	3.934652178362975
TD	Pbre1_03G320800	young	14.109143	3.9173499271496164
TRD	Pbre1_10G134800	young	0.099815	0.13726086826918432
TD	Pbre1_07G108400	young	9.490711	3.3910405536808423
TRD	Pbre1_12G410600	young	4.46567	2.4503983570920758
TD	Pbre1_02G216800	young	8.762822	3.2872982273920983
TRD	Pbre1_15G585800	young	0.111758	0.15284278608703888
TRD	Pbre1_08G278600	young	19.541204	4.36044884099926
PD	Pbre1_15G307400	young	0.966158	0.9753792609752274
TRD	Pbre1_03G307200	young	0.047169	0.06649429402274842
TRD	Pbre1_09G464000	young	0.955278	0.9673737434447253
TRD	Pbre1_02G321000	young	0.0	0.0
TD	Pbre1_03G040600	young	0.184492	0.24426845472056513
PD	Pbre1_06G281400	young	0.0	0.0
PD	Pbre1_10G491200	young	0.811375	0.8570852512218693
TRD	Pbre1_10G078800	young	0.074457	0.10360774695547176
TRD	Pbre1_12G173200	young	0.152532	0.2048068075747005
TD	Pbre1_06G095400	young	0.0	0.0
PD	Pbre1_01G125000	young	6.070318	2.8217751042434007
PD	Pbre1_07G162000	young	1.47238	1.3059004997078576
TRD	Pbre1_06G197200	young	0.0	0.0
TD	Pbre1_05G420400	young	0.68859	0.7558190754622895
TD	Pbre1_10G483400	young	0.974698	0.9816320319140316
TD	Pbre1_03G285600	young	2.077994	1.6219904193923473
TD	Pbre1_03G413600	young	0.17605	0.23394939794520517
TRD	Pbre1_15G784400	young	4.70202	2.5114730995793058
TD	Pbre1_09G158200	young	0.0	0.0
TRD	Pbre1_15G763200	young	0.578614	0.6586584489917262
TD	Pbre1_04G032000	young	0.34522	0.42784213334252513
PD	Pbre1_09G184000	young	38.891732	5.318017857910466
TD	Pbre1_15G488000	young	3.182716	2.064440044527212
TD	Pbre1_15G310400	young	4.791213	2.5338655599242865
TRD	Pbre1_02G127200	young	0.0	0.0
TD	Pbre1_02G120000	young	13.597353	3.8676348776917533
TD	Pbre1_17G416400	young	0.701018	0.766398407534712
TRD	Pbre1_08G301400	young	0.739729	0.798862592967396
TD	Pbre1_12G370200	young	13.680158	3.8757955906291004
TRD	Pbre1_06G189000	young	0.588268	0.6674543694384548
PD	Pbre1_12G108400	young	0.0	0.0
PD	Pbre1_04G310000	young	0.429693	0.5157053883133056
TRD	Pbre1_03G295400	young	0.196049	0.2582764953963188
PD	Pbre1_07G066000	young	0.141334	0.19072104371335913
TRD	Pbre1_01G110200	young	0.0	0.0
PD	Pbre1_17G101200	young	0.0	0.0
TRD	Pbre1_08G200800	young	1.039743	1.0283873894602462
TRD	Pbre1_09G003200	young	1.362728	1.2404535541370754
TRD	Pbre1_02G417400	young	0.0	0.0
TD	Pbre1_08G094200	young	3.348798	2.1206166977266925
TD	Pbre1_14G311800	young	16.652982	4.14184000377915
TD	Pbre1_01G260800	young	1.723938	1.4456938663050183
TRD	Pbre1_01G034000	young	0.674167	0.7434434454837817
TRD	Pbre1_08G234400	young	8.797844	3.2924643214005087
PD	Pbre1_15G692800	young	0.0	0.0
TRD	Pbre1_11G394600	young	0.066603	0.09302329096125511
PD	Pbre1_15G745200	young	0.0	0.0
TD	Pbre1_02G021000	young	0.12529	0.17029684823910224
TRD	Pbre1_11G089400	young	0.10712	0.14681160335000043
PD	Pbre1_04G309600	young	0.0	0.0
TRD	Pbre1_15G553400	young	0.0	0.0
PD	Pbre1_15G299000	young	2.467542	1.7939133570477255
PD	Pbre1_06G211800	young	0.163175	0.21806816700802706
TD	Pbre1_12G370600	young	19.462852	4.354935328900734
