duplication_type	trajectory	role	log2_TPM_plus_1
TRD	Con	A	4.605416440598672
TRD	Con	A	3.7465638365832516
TRD	Con	A	6.440123193475621
TRD	Con	A	4.605416440598672
TRD	Con	A	3.516979059735711
TRD	Con	A	6.872294580365346
TRD	Con	A	3.895940074773655
TRD	Con	A	3.927461399469635
TRD	Con	A	4.549827497100589
TRD	Con	A	9.110553582339163
TRD	Con	A	6.870564500517248
TRD	Con	A	6.813385192960552
TRD	Con	A	5.47765081100119
TRD	Con	A	6.296598754581152
TRD	Con	A	7.848277235331489
TRD	Con	A	2.976524944584275
TRD	Con	A	4.512182641923183
TRD	Con	A	3.8713405391533273
TRD	Con	A	8.171701804736376
TRD	Con	A	6.29615881875081
TRD	Con	A	4.743167680594226
TRD	Con	A	5.279629448548246
TRD	Con	A	5.008872952269086
TRD	Con	A	2.8916906873926136
TRD	Con	A	3.840076617012258
TRD	Con	A	3.840076617012258
TRD	Con	A	7.892992193591686
TRD	Con	A	4.900673381321348
TRD	Con	A	3.5121018938911335
TRD	Con	A	6.796133005028852
TRD	Con	A	6.18649783727013
TRD	Con	A	4.546311596231468
TRD	Con	A	5.300520801633257
TRD	Con	A	3.119298235649559
TRD	Con	A	4.615361206354703
TRD	Con	A	5.084824619582116
TRD	Con	A	4.44447690114912
TRD	Con	A	5.235378896180797
TRD	Con	A	5.235378896180797
TRD	Con	A	4.337339501548874
TRD	Con	A	5.326619592739283
TRD	Con	A	4.816733423526221
TRD	Con	A	2.9872248649946043
TRD	Con	A	2.9872248649946043
TRD	Con	A	7.54236811040383
TRD	Con	A	5.225537755800742
TRD	Con	A	5.023755055475506
TRD	Con	A	6.821542849556458
TRD	Con	A	5.933259005261971
TRD	Con	A	3.9396153507774128
TRD	Con	A	4.065191526220529
TRD	Con	A	3.153328654655508
TRD	Con	A	3.6822853850426056
TRD	Con	A	7.582150284581687
TRD	Con	A	6.145333534529674
TRD	Con	A	5.712075717677126
TRD	Con	A	5.712075717677126
TRD	Con	A	5.837535984579694
TRD	Con	A	3.442399060425571
TRD	Con	A	5.185390522750199
TRD	Con	A	5.070975318040112
TRD	Con	A	5.9671907612793476
TRD	Con	A	3.692051651971524
TRD	Con	A	4.461036794652723
TRD	Con	A	8.142565036448135
TRD	Con	A	6.854367243777625
TRD	Con	A	4.900421230121509
TRD	Con	A	5.117489087961895
TRD	Con	A	7.050974433828197
TRD	Con	A	6.296598754581152
TRD	Con	A	2.7523180732120593
TRD	Con	A	6.232637952308111
TRD	Con	A	5.957022560519379
TRD	Con	A	3.6170066500718066
TRD	Con	A	5.1305574116128145
TRD	Con	A	5.1305574116128145
TRD	Con	A	5.070975318040112
TRD	Con	A	4.757544519759904
TRD	Con	A	3.44375886898808
TRD	Con	A	5.485854650547869
TRD	Con	A	4.905344031422175
TRD	Con	A	3.9964627926481118
TRD	Con	A	3.2771768101974943
TRD	Con	A	3.1175606840527617
TRD	Con	A	4.967963369816551
TRD	Con	A	2.9122547460976826
TRD	Con	A	6.814603218349759
TRD	Con	A	4.220951738013352
TRD	Con	A	6.296598754581152
TRD	Con	A	6.047858977485523
TRD	Con	A	7.582150284581687
TRD	Con	A	6.131886033664044
TRD	Con	A	2.604560444080511
TRD	Con	A	7.153281480543826
TRD	Con	A	6.296598754581152
TRD	Con	A	6.2904477721457726
TRD	Con	A	6.238346304215371
TRD	Con	A	6.261753984458938
TRD	Con	A	7.211644217583981
TRD	Con	A	5.16390209915014
TRD	Con	A	6.821542849556458
TRD	Neo(C)	P	4.2203082575323965
TRD	Neo(C)	P	4.475292644616663
TRD	Neo(C)	P	3.1337462621151144
TRD	Neo(C)	P	5.439981484204279
TRD	Neo(C)	P	3.027113641790634
TRD	Neo(C)	P	5.264771412771901
TRD	Neo(C)	P	4.047113774123083
TRD	Neo(C)	P	8.00945103990538
TRD	Neo(C)	P	5.736692222641679
TRD	Neo(C)	P	4.79089994455021
TRD	Neo(C)	P	3.1416729476184244
TRD	Neo(C)	P	5.672076530638722
TRD	Neo(C)	P	6.492696163977843
TRD	Neo(C)	P	2.565866112682451
TRD	Neo(C)	P	4.087379615147651
TRD	Neo(C)	P	4.604278231559314
TRD	Neo(C)	P	3.7024981400522563
TRD	Neo(C)	P	4.399415522175113
TRD	Neo(C)	P	4.077071041885601
TRD	Neo(C)	P	3.9282500381423135
TRD	Neo(C)	P	4.725578730577949
TRD	Neo(C)	P	5.742292443680867
TRD	Neo(C)	P	3.3714156081951705
TRD	Neo(C)	P	3.4714241392250567
TRD	Neo(C)	P	2.8149189967517665
TRD	Neo(C)	P	3.694698219786486
TRD	Neo(C)	P	3.003846053124832
TRD	Neo(C)	P	2.4583925040817114
TRD	Neo(C)	P	4.591557471980653
TRD	Neo(C)	P	4.591557471980653
TRD	Neo(C)	P	3.9011477218466712
TRD	Neo(C)	P	4.867865279374115
TRD	Neo(C)	P	5.251813382204486
TRD	Neo(C)	P	3.3153047217658647
TRD	Neo(C)	P	4.66689137912289
TRD	Neo(C)	P	3.09274812184574
TRD	Neo(C)	P	3.0893347536611957
TRD	Neo(C)	P	5.549072061775543
TRD	Neo(C)	P	5.97747036194226
TRD	Neo(C)	P	4.817433349851746
TRD	Neo(C)	P	3.7293357607633246
TRD	Neo(C)	P	8.337976736804643
TRD	Neo(C)	P	4.044574780098094
TRD	Neo(C)	P	5.409171097925842
TRD	Neo(C)	P	4.525330170222324
TRD	Neo(C)	P	5.799278776068964
TRD	Neo(C)	P	3.44890498064488
TRD	Neo(C)	P	5.143944059489788
TRD	Neo(C)	P	5.252165318713283
TRD	Neo(C)	P	5.647015936921577
TRD	Neo(C)	P	7.327434904882933
TRD	Neo(C)	P	5.326074531491051
TRD	Neo(C)	P	5.476373159481721
TRD	Neo(C)	P	6.40227084913646
TRD	Neo(C)	P	3.4137302312317823
TRD	Neo(C)	P	5.985011210144071
TRD	Neo(C)	P	4.92704632132051
TRD	Neo(C)	P	4.092255016813028
TRD	Neo(C)	P	6.73904035839626
TRD	Neo(C)	P	4.363835419096184
TRD	Neo(C)	P	1.9291209924186261
TRD	Neo(C)	P	3.897363178531083
TRD	Neo(C)	P	3.189748509060312
TRD	Neo(C)	P	4.216820149015351
TRD	Neo(C)	P	4.399415522175113
TRD	Neo(C)	P	6.123990174025428
TRD	Neo(C)	P	5.394064818915797
TRD	Neo(C)	P	6.122427082948265
TRD	Neo(C)	P	4.737847271229823
TRD	Neo(C)	P	3.937892738053367
TRD	Neo(C)	P	6.146307457470469
TRD	Neo(C)	P	5.2302460086457225
TRD	Neo(C)	P	4.302662512363033
TRD	Neo(C)	P	4.4233959514383585
TRD	Neo(C)	P	3.80401437871606
TRD	Neo(C)	P	4.440249775985454
TRD	Neo(C)	P	4.05568393336365
TRD	Neo(C)	P	6.897060991324189
TRD	Neo(C)	P	4.106645137043597
TRD	Neo(C)	P	2.791024105255396
TRD	Neo(C)	P	4.859905766508692
TRD	Neo(C)	P	4.108355547027733
TRD	Neo(C)	P	2.3464389386065303
TRD	Neo(C)	P	6.0166183407599885
TRD	Neo(C)	P	6.904692813960838
TRD	Neo(C)	P	2.5184510842309136
TRD	Neo(C)	P	3.200343274268001
TRD	Neo(C)	P	4.578618306659759
TRD	Neo(C)	P	3.1351406795520353
TRD	Neo(C)	P	2.1066617181637244
TRD	Neo(C)	P	5.210061268509577
TRD	Neo(C)	P	6.012464609187591
TRD	Neo(C)	P	4.091593708237629
TRD	Neo(C)	P	5.301580854995435
TRD	Neo(C)	P	4.73521841577289
TRD	Neo(C)	P	6.6105294189485475
TRD	Neo(C)	P	3.7174400347387864
TRD	Neo(C)	P	4.059307913889954
TRD	Neo(C)	P	3.0600606169630393
TRD	Neo(C)	P	6.123990174025428
TRD	Neo(C)	P	4.9100344309659585
TRD	Neo(C)	P	4.169049514221864
TRD	Neo(C)	P	5.403667146753319
TRD	Neo(C)	P	4.502080762899018
TRD	Neo(C)	P	7.879517847997225
TRD	Neo(C)	P	5.206358320101273
TRD	Neo(C)	P	5.6270517820684995
TRD	Neo(C)	P	4.443885306922912
TRD	Neo(C)	P	4.975611501369935
