sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair
rep2	13850000	5250	4616	23763.000000	4.52628571429
rep2	13900000	5233	4584	23236.000000	4.44028282056
rep2	13950000	5216	4581	23363.000000	4.47910276074
rep2	14000000	5199	4545	23267.000000	4.47528370841
rep2	14050000	5182	4528	22881.000000	4.41547664994
rep2	14100000	5165	4531	23053.000000	4.4633107454
rep2	14150000	5148	4484	23034.000000	4.47435897436
rep2	14200000	5131	4472	22472.000000	4.37965308907
rep2	14250000	5114	4507	22704.000000	4.43957763004
rep2	14300000	5097	4462	22449.000000	4.40435550324
rep2	14350000	5080	4451	22341.000000	4.39783464567
rep2	14400000	5063	4433	22231.000000	4.39087497531
rep2	14450000	5046	4406	22135.000000	4.38664288545
rep2	14500000	5029	4399	21906.000000	4.35593557367
rep2	14550000	5012	4379	21812.000000	4.35195530726
rep2	14600000	4995	4389	21600.000000	4.32432432432
rep2	14650000	4978	4345	21657.000000	4.3505423865
rep2	14700000	4961	4339	21662.000000	4.36645837533
rep2	14750000	4944	4310	21431.000000	4.33474919094
rep2	14800000	4927	4291	21463.000000	4.3562005277
rep2	14850000	4910	4317	21438.000000	4.36619144603
rep2	14900000	4893	4300	21128.000000	4.31800531371
rep2	14950000	4876	4302	21129.000000	4.33326497129
rep2	15000000	4859	4226	20857.000000	4.29244700556
rep2	15050000	4842	4255	20773.000000	4.29016935151
rep2	15100000	4825	4203	20774.000000	4.30549222798
rep2	15150000	4808	4194	20828.000000	4.33194675541
rep2	15200000	4791	4200	20498.000000	4.2784387393
rep2	15250000	4774	4221	20508.000000	4.29576874738
rep2	15300000	4757	4137	20217.000000	4.24994744587
rep2	15350000	4740	4165	20157.000000	4.25253164557
rep2	15400000	4723	4120	19902.000000	4.21384713106
rep2	15450000	4706	4151	20096.000000	4.27029324267
rep2	15500000	4689	4100	20016.000000	4.26871401152
rep2	15550000	4672	4076	19761.000000	4.22966609589
rep2	15600000	4655	4058	19869.000000	4.26831364125
rep2	15650000	4638	4059	19680.000000	4.24320827943
rep2	15700000	4621	4037	19721.000000	4.26769097598
rep2	15750000	4604	4013	19464.000000	4.22762814944
rep2	15800000	4587	4008	19333.000000	4.21473730107
rep2	15850000	4570	4018	19696.000000	4.30984682713
rep2	15900000	4553	4006	19402.000000	4.26136613222
rep2	15950000	4536	3945	19085.000000	4.20745149912
