duplication_type	parent	child	ancestor	parent_mean_TPM	child_mean_TPM	ancestor_mean_TPM	parent_tau	child_tau	ancestor_tau	E_P_A	E_C_A	E_PC_A	CDROM_class	binary_TPM1_class	binary_TPM0.5_class	two_method_agreement	analysis_status
TD	Pbre1_02G047200	Pbre1_02G047400	Prupe.7G249000.1	25.457021166666667	0.0	14.640231833333333	0.3059346870794494	NA	0.4909109526933535	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_02G054600	Pbre1_02G054800	Prupe.7G245600.1	48.6116115	1.099708	23.212915666666667	0.4826992970693523	0.8257228445129161	0.44039254763032487	0.3143762720496001	0.49344436079068604	0.3124859593781841	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TD	Pbre1_02G067000	Pbre1_02G067200	Prupe.7G239200.1	0.16075383333333335	4.685459333333333	178.19022333333334	1.0	0.9805105872569726	0.9329541003564646	0.318227442918467	0.24605575402553387	0.24790095044625132	Conservation	Specialization	Specialization	discordant	classified
TD	Pbre1_02G078800	Pbre1_02G079000	Prupe.7G233700.1	13.600349666666666	3.988252	111.6763615	0.323327295620187	0.565703473182268	0.2841679582820868	0.20933597623277742	0.2652085276306047	0.15878716580110255	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_02G084800	Pbre1_02G085000	Prupe.7G230700.1	0.0	0.41452249999999996	2.139426	NA	0.9164628984993414	0.38181171521448143	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_02G087800	Pbre1_02G088000	Prupe.7G229100.1	0.9637425000000001	18.116115999999998	229.28481200000002	0.7596086598404526	0.46951481439752774	0.7398122769669232	0.5390474313085145	0.4768198124249293	0.4747578701141452	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G096600	Pbre1_02G096800	Prupe.7G224300.1	0.7277176666666667	2.865670833333333	7.303220333333334	0.9836459494680719	1.0	0.9663248594921156	0.15918882496436	0.1971111438786177	0.18647173567541653	Conservation	Specialization	Specialization	discordant	classified
TD	Pbre1_02G122200	Pbre1_02G122400	Prupe.7G211000.1	0.436142	10.228184666666667	45.11553983333333	0.910645892144537	0.5595927297013146	0.548409781674996	0.4459518830348828	0.26902640212955614	0.24791991568852134	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	classified
TD	Pbre1_02G126600	Pbre1_02G126800	Prupe.7G208200.1	5.721657333333333	17.838638333333336	54.28134816666667	0.7085780468586556	0.843105175303287	0.5067435554566423	0.1483321796488076	0.31704973455648283	0.26901222753089643	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_02G131000	Pbre1_02G131200	Prupe.7G205500.1	3.6172501666666665	7.722138	2.6548918333333336	0.9978501148575665	0.6164035510173929	0.8669507492502166	1.1296512443458406	0.5703215501222982	0.7173823137551011	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G148000	Pbre1_02G148200	Prupe.7G195700.1	0.06318966666666667	99.661731	77.025243	0.9431314363143631	0.5858320837016341	0.7639213590630337	0.875793749539305	0.21061763832454575	0.21074510456746356	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	classified
TD	Pbre1_02G155200	Pbre1_02G155400	Prupe.7G192300.1	7.213814666666667	11.450084333333333	734.4942691666666	0.6235293671079787	0.9772360058995384	0.8190045216622976	0.5256617506761703	1.0200961339938033	0.7782884709816357	Specialization	Neofunctionalization(Child)	Neofunctionalization(Child)	discordant	classified
TD	Pbre1_02G157800	Pbre1_02G158000	Prupe.7G191400.1	0.14829516666666667	0.0	0.0	0.8863137669663317	NA	NA	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_02G162400	Pbre1_02G162600	Prupe.7G188800.1	9.079775333333334	0.014707	70.59046533333333	0.8427587913643325	1.0	0.9437541510015663	0.9180012101706483	1.2323795507699666	0.9175255315626873	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G178800	Pbre1_02G179000	Prupe.7G178500.1	28.047089500000002	46.171872	306.85557316666666	0.6042809879398454	0.9368685762595484	0.594654848761448	0.38536452901264745	0.6138864604903733	0.47485090025388377	Neofunctionalization(Child)	Conservation	Conservation	discordant	classified
TD	Pbre1_02G190800	Pbre1_02G191000	Prupe.7G172300.1	0.25749266666666665	0.0032133333333333332	5.0942015	0.9803477428843793	1.0	0.7069776103393177	0.6362359928245022	1.022165580820062	0.6258914490137168	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G194200	Pbre1_02G194400	Prupe.7G170500.1	0.37013766666666664	0.15069216666666668	13.9546125	0.9779751264671186	0.9622007958613107	0.7157253795722689	1.02096770948575	1.0095788718288967	1.0143772977080268	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G213600	Pbre1_02G213800	Prupe.7G161200.1	88.34148333333333	283.6618315	34.4601685	0.9588107364787349	0.7751276402168559	0.8386105019281616	0.832299913489547	0.522180705324845	0.5112401816448618	Specialization	Specialization	Conservation	Specialization	classified
TD	Pbre1_02G223800	Pbre1_02G224000	Prupe.7G155900.1	0.286829	0.2114835	7.419662666666667	0.588733850129199	0.5493949772860118	0.9294723909678441	0.6257620059872678	0.5157717214417883	0.5693664243560936	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G237200	Pbre1_02G237400	Prupe.7G148800.1	57.66014666666667	70.09130283333333	189.54910333333333	0.3012361297064994	0.4432080389700846	0.4123541298209078	0.19209905074936956	0.1074464077105611	0.12385664068996495	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_02G288200	Pbre1_02G288400	Prupe.6G220400.1	0.23860783333333332	0.0	22.828807166666667	1.0	NA	0.348748587893209	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_02G311800	Pbre1_02G312000	Prupe.2G149200.1	0.0	0.0	12.947399333333333	NA	NA	0.5835353335162468	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_02G318600	Pbre1_02G318800	Prupe.2G145200.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missing_expression_record
TD	Pbre1_02G321600	Pbre1_02G321800	Prupe.2G143700.1	6.851122	40.95107483333334	94.12495566666666	0.7208128201562314	0.5363320353072355	0.4499594197640839	0.26583444143363394	0.1919598627993832	0.18615912262808937	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_02G348000	Pbre1_02G348200	Prupe.2G125900.1	0.0	48.34067616666667	51.60963066666667	NA	0.18910588268958137	0.4497462999660584	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_02G350200	Pbre1_02G350400	Prupe.2G123200.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missing_expression_record
TD	Pbre1_02G373800	Pbre1_02G374000	Prupe.2G106200.1	2.4565516666666665	0.019519166666666667	34.00651316666667	0.9645421028093407	1.0	0.809218020451086	0.9913089904025914	1.154069428674682	0.992567560250225	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G374800	Pbre1_02G375000	Prupe.2G105100.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missing_expression_record
TD	Pbre1_02G381800	Pbre1_02G382000	Prupe.2G101300.1	15.175706166666666	5.362247833333334	39.32912	0.17340316798339486	0.8439969137202683	0.44794696208774953	0.2519981174061981	0.6464340922810731	0.33757290787250543	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TD	Pbre1_02G383000	Pbre1_02G383200	Prupe.2G099900.1	0.10511266666666666	22.871341666666666	61.91795283333334	0.8654442832400144	0.5326514834089832	0.6300626108857084	0.6268633005629721	0.3280699120931916	0.3276303259222897	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Parent)	classified
TD	Pbre1_02G385600	Pbre1_02G385800	Prupe.2G097200.1	0.23908366666666667	0.025948	1.6882295	0.7559277907709262	0.8679116495845909	0.968030720758909	0.984210773464318	1.0515862650378809	0.9809625895693377	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_02G424600	Pbre1_02G424800	Prupe.2G058400.1	109.29561666666666	0.05886583333333333	159.32696033333332	0.46904996364804463	0.8839672867509553	0.33308021497514284	0.22080676548315767	0.556261886359813	0.22064403480621186	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TD	Pbre1_02G426600	Pbre1_02G426800	Prupe.2G056300.1	43.158255499999996	18.095889166666666	44.446860666666666	0.7885479851276076	0.563752156577606	0.3748853243191156	0.44457843899743965	0.18704363141758437	0.34524745560451736	Neofunctionalization(Parent)	Conservation	Conservation	discordant	classified
TD	Pbre1_02G443200	Pbre1_02G443400	Prupe.2G043200.1	17.0841435	2.8633815	6.4154365	0.4270338536707231	0.3567776293628845	0.48727970636958984	0.36708552140030887	0.33369121942459734	0.35731260547813243	Conservation	Specialization	Specialization	discordant	classified
TD	Pbre1_02G454600	Pbre1_02G454800	Prupe.2G038300.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	missing_expression_record
TD	Pbre1_02G471600	Pbre1_02G471400	Prupe.2G028300.1	0.0	0.054504833333333336	0.0	NA	0.8225710213338104	NA	NA	NA	NA	NA	NA	NA	NA	all_zero_expression_profile
TD	Pbre1_02G477400	Pbre1_02G477600	Prupe.2G024200.1	58.99274866666667	12.274999833333334	119.04285016666667	0.3914717007836356	0.9403613595299852	0.5584094798119318	0.20490664929508695	0.6885676295437901	0.23264513898299438	Neofunctionalization(Child)	Neofunctionalization(Child)	Conservation	Neofunctionalization(Child)	classified
TD	Pbre1_02G507400	Pbre1_02G507600	Prupe.2G005300.1	0.055286	0.5680743333333333	48.3545845	0.7326166288588618	0.460286167555379	0.6860707293242992	0.400725558690668	0.41951712942679	0.40236912480378917	Specialization	Specialization	Specialization	Specialization	classified
TD	Pbre1_03G004400	Pbre1_03G004600	Prupe.6G002200.1	6.223216666666667	181.06914566666669	206.89428566666666	0.5909978696758308	0.46796908214336363	0.5718853533118504	0.320150450213582	0.3188828691863251	0.3173168766782177	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_03G008600	Pbre1_03G008800	Prupe.6G004500.1	26.050716833333333	34.532301833333335	57.060793000000004	0.3449766008744356	0.35967352746941783	0.40919573210004445	0.09340190155902553	0.10934500191107402	0.10102088037731567	Conservation	Conservation	Conservation	Conservation	classified
TD	Pbre1_03G012400	Pbre1_03G012600	Prupe.6G006000.1	0.21028266666666665	1.2915081666666668	3.5644188333333333	0.8158191539895011	0.9196590346079077	0.9990505634666131	0.5550530612339958	0.3197218271228093	0.3445765339359643	Neofunctionalization(Parent)	Neofunctionalization(Parent)	Neofunctionalization(Child)	Neofunctionalization(Parent)	classified
TD	Pbre1_03G016400	Pbre1_03G016600	Prupe.6G010100.1	1.0978201666666667	3.1334101666666667	21.7970855	0.35708288571086716	0.5764780796791726	0.563549380596727	0.26951147196163056	0.37666888531806697	0.3331747697985601	Conservation	Specialization	Conservation	discordant	classified
