gene	TPM	log2_TPM_plus_1	group
Pbre1_15G510400	0.0	0.0	Cis-associated
Pbre1_15G510600	4.204167	2.379667258405844	Cis-associated
Pbre1_15G510800	17.400503	4.201673299522198	Cis-associated
Pbre1_15G511000	6.12637	2.833167389913474	Cis-associated
Pbre1_15G511200	0.0	0.0	Cis-associated
Pbre1_15G511400	0.0	0.0	Cis-associated
Pbre1_15G511600	10.658062	3.543256074217298	Cis-associated
Pbre1_15G511800	0.0	0.0	Cis-associated
Pbre1_15G512000	0.0	0.0	Cis-associated
Pbre1_15G512200	19.353402	4.347198050967321	Cis-associated
Pbre1_15G512400	0.0	0.0	Cis-associated
Pbre1_15G512600	11.276348	3.6178095427381054	Cis-associated
Pbre1_15G512800	9.361152	3.3731125122255525	Cis-associated
Pbre1_15G513000	4.700034	2.5109705248010803	Cis-associated
Pbre1_15G513200	103.77527	6.71115442899233	Cis-associated
Pbre1_15G513400	1.676318	1.4202495471325838	Cis-associated
Pbre1_15G513600	2.259049	1.7044510432472568	Cis-associated
Pbre1_15G513800	11.899526	3.6892461489069603	Cis-associated
Pbre1_15G514000	8.358218	3.2262338367187042	Cis-associated
Pbre1_15G514400	0.0	0.0	Cis-associated
Pbre1_15G514600	7.600394	3.1044027538642336	Cis-associated
Pbre1_15G514800	4.328267	2.413666377815437	Cis-associated
Pbre1_15G515400	18.485713	4.284344816886715	Cis-associated
Pbre1_15G515600	0.789197	0.8393122444473519	Cis-associated
Pbre1_15G515800	2.871091	1.9527402223048842	Cis-associated
Pbre1_15G516000	0.694182	0.7605888666378952	Cis-associated
Pbre1_15G516200	14.648021	3.967908306420996	Cis-associated
Pbre1_15G516400	3.600648	2.2018370786795565	Cis-associated
Pbre1_15G516600	37.805082	5.2781736982297645	Cis-associated
Pbre1_15G516800	12.733519	3.779629435839405	Cis-associated
Pbre1_15G517000	2.020483	1.5947792667649328	Cis-associated
Pbre1_15G517200	0.0	0.0	Cis-associated
Pbre1_15G517400	0.0	0.0	Cis-associated
Pbre1_15G517600	0.0	0.0	Cis-associated
Pbre1_15G517800	0.050095	0.07051985153816434	Cis-associated
Pbre1_15G518400	7.974763	3.1658738416388377	Cis-associated
Pbre1_15G518600	30.37277	4.9714410097506345	Cis-associated
Pbre1_15G518800	0.0	0.0	Cis-associated
Pbre1_15G519000	16.674435	4.1435921919177074	Cis-associated
Pbre1_15G519200	3.522344	2.1770707373831426	Cis-associated
Pbre1_15G519600	0.0	0.0	Cis-associated
Pbre1_15G519800	0.0	0.0	Cis-associated
Pbre1_15G520000	73.161532	6.212599141790041	Cis-associated
Pbre1_15G520200	2.949055	1.9815074609040326	Cis-associated
Pbre1_15G520400	16.67626	4.143741151843501	Cis-associated
Pbre1_15G520600	6.614066	2.9286670754767465	Cis-associated
Pbre1_15G520800	13.586794	3.866590926151799	Cis-associated
Pbre1_15G521000	600.945315	9.233488618019106	Cis-associated
Pbre1_15G521200	72.393833	6.197586938962647	Cis-associated
Pbre1_15G521400	20.473022	4.424453337672769	Cis-associated
Pbre1_15G521600	20.386612	4.418636048267501	Cis-associated
Pbre1_15G521800	20.556295	4.430037330285133	Cis-associated
Pbre1_15G522000	0.0	0.0	Cis-associated
Pbre1_15G522600	0.319235	0.39970157985572885	Cis-associated
Pbre1_15G523000	9.102475	3.336636876260687	Cis-associated
Pbre1_15G523200	0.0	0.0	Cis-associated
Pbre1_15G523400	25.111756	4.7066275761806295	Cis-associated
Pbre1_15G523600	6.272936	2.862537881003583	Cis-associated
Pbre1_15G523800	51.485504	5.7138471139503935	Cis-associated
Pbre1_15G524200	4.174145	2.3713204846082214	Cis-associated
Pbre1_15G524400	28.079878	4.8619493115601315	Cis-associated
Pbre1_15G524800	4.207463	2.3805806836838483	Cis-associated
Pbre1_15G525200	0.0	0.0	Cis-associated
Pbre1_15G525800	0.08164	0.1132204098527235	Cis-associated
Pbre1_15G526000	2.982058	1.99351423454485	Cis-associated
Pbre1_15G526200	29.272727	4.919946735436712	Cis-associated
Pbre1_15G526400	23.810977	4.632906641294767	Cis-associated
Pbre1_15G526600	42.158223	5.43156355929936	Cis-associated
Pbre1_15G526800	11.20043	3.608860090866941	Cis-associated
Pbre1_15G527000	6.863795	2.9752257127850155	Cis-associated
Pbre1_15G527200	11.52564	3.6468124149734775	Cis-associated
Pbre1_15G527400	3.995526	2.320636593460826	Cis-associated
Pbre1_15G527600	3.667712	2.222715548836678	Cis-associated
Pbre1_15G527800	3.732669	2.242654024388278	Cis-associated
Pbre1_15G528000	2.890449	1.959936667471641	Cis-associated
Pbre1_15G528200	17.190334	4.185100128020787	Cis-associated
Pbre1_15G528400	33.390183	5.1039248877654435	Cis-associated
Pbre1_15G528600	0.47199	0.557767870444237	Cis-associated
Pbre1_15G528800	22.788116	4.572169110866996	Cis-associated
Pbre1_15G529000	64.658335	6.036906260611543	Cis-associated
Pbre1_15G529200	2.131814	1.646998532793095	Cis-associated
Pbre1_15G529400	9.539523	3.3977376695373627	Cis-associated
Pbre1_15G529600	0.0	0.0	Cis-associated
Pbre1_15G529800	1.731934	1.4499226303985524	Cis-associated
Pbre1_15G530000	0.0	0.0	Cis-associated
Pbre1_15G530200	34.620757	5.1546462713083985	Cis-associated
Pbre1_15G530800	0.0	0.0	Cis-associated
Pbre1_15G531000	0.0	0.0	Cis-associated
Pbre1_15G531200	0.0	0.0	Cis-associated
Pbre1_15G531400	0.132255	0.17919891029487134	Cis-associated
Pbre1_15G531800	0.0	0.0	Cis-associated
Pbre1_15G532000	30.763209	4.989284768530587	Cis-associated
Pbre1_15G532200	0.335267	0.41712825207095283	Cis-associated
Pbre1_15G533600	2.652688	1.868958528932317	Cis-associated
Pbre1_15G534000	3.859731	2.280876458747392	Cis-associated
Pbre1_15G534400	0.095788	0.131968709855924	Cis-associated
Pbre1_15G534600	0.0	0.0	Cis-associated
Pbre1_15G534800	0.0	0.0	Cis-associated
Pbre1_15G535000	22.887873	4.578206495397218	Cis-associated
Pbre1_15G535200	0.682475	0.750585067900089	Cis-associated
Pbre1_15G535400	6.946768	2.990368226631387	Cis-associated
Pbre1_15G535600	15.233549	4.020906533157418	Cis-associated
