duplication_type	parent	child	ancestor	parent_mean_TPM	child_mean_TPM	ancestor_mean_TPM	parent_tau	child_tau	ancestor_tau	E_P_A	E_C_A	E_PC_A	CDROM_class	binary_TPM1_class	binary_TPM0.5_class	two_method_agreement	analysis_status
TRD	Pbre1_10G563200	Pbre1_12G158000	Prupe.4G016400.1	17.594707500000002	0.0215591666666666	16.241377833333335	0.8104686995124339	0.9193760779251772	0.515818295519657	0.3036853903709042	0.7818633388516791	0.3034044056207106	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_10G514200	Pbre1_12G167000	Prupe.4G043900.1	11.605782166666666	7.466346333333333	23.342685666666664	0.2872997598146673	0.3180627417003043	0.5785958303049246	0.2320443080025565	0.2020578522558586	0.2140605347586401	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_10G578400	Pbre1_12G173000	Prupe.4G009400.1	46.50880183333333	49.113654	4.729080166666667	0.9978575396871447	0.7375059587820022	0.8128222912552048	1.1389504928255652	0.5287896861260324	0.8162228322776053	Specialization	Specialization	Neofunctionalization(Parent)	Specialization	classified
TRD	Pbre1_04G218800	Pbre1_12G254400	Prupe.6G260800.1	7.528445166666667	4.905050833333333	10.677932166666666	0.7869417463920351	0.9399282790955096	0.3088708996541476	0.3840574365489691	0.6684931631535674	0.4909546202009074	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_04G223000	Pbre1_12G259400	Prupe.6G263500.1	0.0275348333333333	0.2806635	0.0176956666666666	0.8699351693687755	0.938587159424047	0.8011644941963112	0.3837434668469323	0.91489231484348	0.8354106674850471	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_16G142200	Pbre1_12G265600	Prupe.1G267700.1	17.901708166666666	0.8295296666666667	45.9169155	0.5272960533081412	0.8810927165578211	0.5252211649125187	0.235742667571026	0.63489435934637	0.2269698196698168	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_11G528600	Pbre1_12G270400	Prupe.8G269200.1	5.7099355	0.1064915	9.4549995	0.9095845061838176	0.906659902625351	0.6242109415963314	0.5404387845325948	0.5575816753579016	0.5238922617501833	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_11G528600	Pbre1_12G270600	Prupe.8G269200.1	5.7099355	0.0703278333333333	9.4549995	0.9095845061838176	0.9453873492267496	0.6242109415963314	0.5404387845325948	0.6855840897282444	0.5291023739592147	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_12G009600	Pbre1_12G284400	Prupe.7G005900.1	49.26367483333333	0.0097008333333333	75.73186866666667	0.3663745467750026	1.0	0.2378534960266169	0.1367824152371584	0.9591813154201964	0.1368451326834649	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_09G171600	Pbre1_12G295800	Prupe.3G219400.1	4.556921	9.580299666666669	12.422335666666669	0.7465181328304289	0.2977406393126969	0.1702970387307304	0.3138420108223813	0.0729318599239032	0.0978775475650758	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_05G087200	Pbre1_12G336200	Prupe.8G077700.1	32.285516333333334	0.0876108333333333	56.57593233333333	0.3182171328385714	0.9563139156475704	0.3711976734831453	0.1642987796324348	0.6832768808974388	0.1639421557532495	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_04G188800	Pbre1_12G358400	Prupe.6G246300.1	63.399975	3.0368983333333333	85.83009116666666	0.2885548391539456	0.7168834625942677	0.3855924840409436	0.1605465315633978	0.2096220737834454	0.1471223981297239	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_15G758600	Pbre1_12G363200	Prupe.1G575200.1	7.126215999999999	1.7701821666666668	0.7690341666666667	0.9711568905961744	0.9812570821544332	0.8145359600084208	0.9444994712821624	0.963509831544242	0.947847496972523	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_12G048000	Pbre1_12G372800	Prupe.7G109000.1	10.325015166666669	0.0383471666666666	20.81291166666667	0.2352855134122758	0.972568847241168	0.6835707620194331	0.2966095517388362	0.8854879830104337	0.2964571172630049	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_12G099200	Pbre1_12G386400	Prupe.7G075800.1	21.6600755	1.8910016666666667	17.366720166666667	0.439972083282418	0.8052104794151859	0.6108382417273491	0.3239556922062898	0.4376956271823182	0.321642685636563	Neofunctionalization(Child)	Neofunctionalization(Child)	Conservation	Neofunctionalization(Child)	classified
TRD	Pbre1_02G259800	Pbre1_12G408400	Prupe.7G135600.1	0.2273211666666666	1.7664688333333334	17.902396666666668	1.0	0.7562515046224094	0.999292477374541	0.0039642375058947	1.0947788806490268	0.9695271877527012	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_04G388600	Pbre1_12G415400	Prupe.6G352100.1	1.3793258333333331	0.2540826666666667	0.726193	0.8487588293538376	0.802465787716956	0.6980501620592905	0.6373482110122273	0.5657609703402245	0.6258639936030932	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_10G514200	Pbre1_12G439800	Prupe.4G043900.1	11.605782166666666	28.705159666666667	23.342685666666664	0.2872997598146673	0.4036983090761959	0.5785958303049246	0.2320443080025565	0.166040302561435	0.1726792194051199	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_06G397000	Pbre1_13G010600	Prupe.5G233900.1	8.9326905	7.069650333333334	10.447646	0.3127919854851594	0.4050042230382692	0.5245781015624885	0.1636623890453328	0.1541124200360156	0.1514418019665938	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_08G120400	Pbre1_13G019400	Prupe.1G404000.1	9.226934166666666	0.0219848333333333	23.263642	0.6901295356698434	1.0	0.8927226221811477	0.6940465452541295	1.0633458569583407	0.6943534333446401	Specialization	Specialization	Specialization	Specialization	classified
