loop_set	analysis_set	term	n	estimate	se	ci_low	ci_high	p_value	model_r2	note	p_adj_BH
primary	TRD_peach_polarized	delta_ATAC	774	0.16928627171474772	0.14633283754504742	-0.11752081962909586	0.4560933630585913	0.24733049812746521	0.45408526193082144	cluster-robust SE by duplicate family	0.35445838564639437
primary	TRD_peach_polarized	delta_log_gene_length	774	0.1861302376294921	0.10166878350064902	-0.013136916383780062	0.38539739164276426	0.06713770153599231	0.45408526193082144	cluster-robust SE by duplicate family	0.14706353669788794
primary	TRD_peach_polarized	delta_GC	774	-0.05031556467624777	0.1189218553697257	-0.2833981181755914	0.18276698882309583	0.6722239731003259	0.45408526193082144	cluster-robust SE by duplicate family	0.7451157292196383
primary	TRD_peach_polarized	delta_gene_density	774	0.15571848261025661	0.07267846446895031	0.013271309799440023	0.2981656554210732	0.03214788000581942	0.45408526193082144	cluster-robust SE by duplicate family	0.08962439274349657
primary	TRD_multi_outgroup_polarized	Intercept	501	-1.2925936721331135	0.15007324599945243	-1.58673182933506	-0.9984555149311669	7.112012347937706e-18	0.43245606588913876	cluster-robust SE by duplicate family	5.948228509184263e-17
primary	TRD_multi_outgroup_polarized	C(trajectory)[T.Neo(C)]	501	-3.058602223016026	0.20976500164838266	-3.4697340714638414	-2.647470374568211	3.7055641990305326e-48	0.43245606588913876	cluster-robust SE by duplicate family	1.13637302103603e-46
primary	TRD_multi_outgroup_polarized	C(trajectory)[T.Neo(P)]	501	2.297541738713933	0.7325823730862177	0.8617066717560613	3.7333768056718046	0.001711389786383335	0.43245606588913876	cluster-robust SE by duplicate family	0.00605568693643334
primary	TRD_multi_outgroup_polarized	C(trajectory)[T.Spe]	501	-0.324455914048225	0.2892543190977119	-0.8913839618523967	0.24247213375594662	0.261990980695161	0.43245606588913876	cluster-robust SE by duplicate family	0.35445838564639437
primary	TRD_multi_outgroup_polarized	capture_delta	501	0.0076174207473044	0.20422678618469017	-0.39265972485305056	0.4078945663476594	0.9702467361525968	0.43245606588913876	cluster-robust SE by duplicate family	0.9702467361525968
primary	TRD_multi_outgroup_polarized	capture_any	501	0.3026591370072406	0.21608754065595168	-0.12086466018625935	0.7261829342007406	0.1613241289938584	0.43245606588913876	cluster-robust SE by duplicate family	0.29943524337363714
primary	TRD_multi_outgroup_polarized	delta_promoter_OCR	501	0.3346693839131074	0.2456680910844778	-0.14683122676317462	0.8161699945893894	0.17310869353890024	0.43245606588913876	cluster-robust SE by duplicate family	0.3054917665459896
primary	TRD_multi_outgroup_polarized	delta_ATAC	501	0.13602790677998491	0.12038961192768212	-0.09993139671102574	0.37198721027099557	0.2585194691970948	0.43245606588913876	cluster-robust SE by duplicate family	0.35445838564639437
primary	TRD_multi_outgroup_polarized	delta_log_gene_length	501	0.13482468486651258	0.10206425358376806	-0.06521757626663593	0.3348669459996611	0.18650853227908393	0.43245606588913876	cluster-robust SE by duplicate family	0.306406874458495
primary	TRD_multi_outgroup_polarized	delta_GC	501	-0.022761838972151793	0.11182921660993828	-0.2419430759469592	0.19641939800265565	0.8387121442846738	0.43245606588913876	cluster-robust SE by duplicate family	0.8768354235703407
primary	TRD_multi_outgroup_polarized	delta_gene_density	501	0.1788451528481454	0.0832111589924443	0.01575427811111832	0.3419360275851725	0.03161118934046027	0.43245606588913876	cluster-robust SE by duplicate family	0.08962439274349657
strict	all	Intercept	1290	-0.26494209738655383	0.15664906844632853	-0.5719686297531076	0.04208443497999992	0.09077765812650569	0.5393130497869291	cluster-robust SE by duplicate family	0.1739905114091359
strict	all	C(duplication_type)[T.TD]	1290	0.35117578407792416	0.1734714520727585	0.011177985669451385	0.6911735824863969	0.04292890716277399	0.5393130497869291	cluster-robust SE by duplicate family	0.10973289620603452
strict	all	C(duplication_type)[T.TRD]	1290	-0.6876590336301165	0.16222539236804823	-1.00561496004937	-0.369703107210863	2.2460646806036053e-05	0.5393130497869291	cluster-robust SE by duplicate family	9.392634118887803e-05
